Site,Individual,Length_(mm),Damage,Insect_presence,Frass_presence,Fruit_evidence_of_insect,Plant_damage,Number_of_racemes,Fruits_on_plant,Height_(m),Approx_dist_to_Allegheny_(m),Number_of_mature_seeds,Immature_seeds,Seed_length_(mm),,,,,Avg_seed_length_(mm),Note_sub_fruit
21,11,32.3,0,1,1,1,NA,NA,NA,NA,NA,12,2,5.2,5.3,4.9,5.2,5.1,5.14,
21,12,23.5,1,1,1,1,0,12,35,1.03,15,8,0,5,5.3,4.7,4.9,5,4.98,
21,13,25.4,1,0,0,1,0,13,6,0.63,16,25.4,NA,4.1,5.1,4.7,5.1,4.9,4.78,
21,14,41.5,0,0,0,0,1,4,89,1.26,24,41.5,0,5.4,5.8,5.1,5.3,5.6,5.44,
21,15,27.1,0,0,0,0,0,18,22,0.89,22,27.1,1,5.2,4.9,5,5,4.9,5,
26,1,28,0,0,0,0,NA,NA,NA,NA,NA,3,12,5.2,5.1,4.9,,,5.066666667,
26,2,35.2,0,0,0,0,NA,NA,NA,NA,NA,16,3,6.8,6.8,6.4,6.6,6.5,6.62,
26,3,36.4,0,0,0,0,NA,NA,NA,NA,NA,16,9,5.1,5.1,5.2,5,5,5.08,
26,4,30.1,0,0,0,0,1,20,36,0.94,50,3,9,5.2,5.4,4.3,,,4.966666667,
26,5,25.2,0,0,0,0,NA,NA,NA,NA,NA,22,2,5.5,6,5.6,5,5.3,5.48,
26,6,29.8,0,1,1,1,0,5,2,0.74,50,9,0,5.2,5.1,5.4,5.6,5.8,5.42,
26,7,14,0,0,0,0,0,8,2,0.73,50,1,0,4,,,,,4,
26,8,40.1,0,0,0,0,0,15,4,0.65,50,13,0,5.5,5.8,6,5.8,6,5.82,
26,9,29.3,0,0,0,0,1,11,4,1.08,50,6,0,6.1,5.9,6.2,5.9,5.1,5.84,
26,10,33.3,0,0,0,0,1,28,40,1.02,50,11,2,6.8,6.1,6.1,6.4,6.7,6.42,
26,11,44.31,1,0,1,1,1,21,60,1.27,50,16,3,5.5,5.6,5.9,5.8,6,5.76,
26,12,34.3,1,0,0,1,1,18,34,1.23,50,9,3,5.3,5,4.9,5.5,5,5.14,
26,13,30.8,0,0,0,0,0,18,16,0.77,50,10,1,5.5,5.1,5.2,5.2,5.2,5.24,
26,14,28.3,0,0,0,0,0,8,2,0.69,50,14,5,5.5,5.4,5.2,5.1,5.5,5.34,
26,15,24.9,0,0,0,0,0,15,34,0.78,50,11,9,5.5,5,5.8,5.4,5.5,5.44,
